ufs_serial,run_id,wafer_no,date,die_x,die_y,pred,health,clf_proba,split
S00302,9,14,2025-10-13,50,23,0.002092678144703,0.0,0.4568028883237924,train
S00303,2,13,2025-10-02,52,15,0.0021656382710528,0.0044147169073886,0.4037043381646044,train
S00308,9,9,2025-10-13,24,19,0.0022848451429771,0.0,0.383578894025498,train
S00309,10,1,2025-10-15,25,17,0.0018010631643759,0.0021791077496437,0.3554243561144382,train
S00310,10,1,2025-10-15,21,19,0.0019245828976773,0.0156605896916497,0.3865026125484389,train
S00311,10,3,2025-10-15,34,21,0.0020130630840985,0.0,0.3142267994468737,train
S00312,10,3,2025-10-15,33,22,0.0020753774546845,0.0022374990433228,0.2808052943605533,train
S00313,10,14,2025-10-15,30,14,0.0019758755968682,0.0,0.320321252670347,train
S00314,10,24,2025-10-15,57,25,0.0017839726447193,0.0021928953719759,0.3056325768670546,train
S00315,9,22,2025-10-13,48,15,0.0021097793671411,0.0021781336418657,0.4383772290957976,train
S00316,10,24,2025-10-15,24,28,0.0012629279831041,0.0,0.3407715669887994,train
S00318,10,14,2025-10-15,23,19,0.0016281522840736,0.0022137295775651,0.3259329960483274,train
S00319,10,24,2025-10-15,43,31,0.0021601365498929,0.0021892730027839,0.320525998655404,train
S00321,26,16,2025-11-10,24,21,0.000753378609987,0.0,0.1488740504314241,train
S00323,24,16,2025-11-06,27,22,0.0013196937538236,0.0,0.3830125070086077,train
S00324,24,18,2025-11-06,39,23,0.0022533598861001,0.002440437609255,0.464804345361918,train
S00325,24,18,2025-11-06,17,18,0.0026479883772415,0.0,0.4354576741411846,train
S00326,24,10,2025-11-06,62,21,0.0026417991689869,0.0,0.3745690948151377,train
S00327,24,15,2025-11-06,55,16,0.0018321978702535,0.0044787484736659,0.3428169829980148,train
S00328,24,10,2025-11-06,48,17,0.0030808014636706,0.0,0.4101029764209774,train
S00329,24,10,2025-11-06,37,27,0.0033164545994238,0.0021770745724698,0.3205507841489496,train
S00331,24,11,2025-11-06,50,17,0.0028924061176013,0.0,0.3749176778625847,train
S00332,24,14,2025-11-06,40,12,0.0025119112016467,0.0,0.4291529005838373,train
S00334,24,13,2025-11-06,40,16,0.0029187916463343,0.0072413089722295,0.4251007636681034,train
S00335,24,13,2025-11-06,34,20,0.0027946435022561,0.0,0.4094660846298739,train
S00336,24,13,2025-11-06,42,31,0.0015755514167239,0.0,0.3123599221492237,train
S00339,24,16,2025-11-06,61,22,0.0018948626258621,0.0,0.4144710457644966,train
S00340,24,11,2025-11-06,34,26,0.0027441564419338,0.0,0.4712084995964489,train
S00341,24,23,2025-11-06,58,19,0.0030791763629244,0.0,0.4065382873785131,train
S00342,24,21,2025-11-06,17,17,0.0028052988699025,0.0239999227366672,0.2755087364823304,train
S00343,24,18,2025-11-06,55,23,0.0025440712496415,0.0071593200806683,0.407399787580265,train
S00344,24,22,2025-11-06,50,14,0.0033615048305127,0.0,0.3944421361376462,train
S00347,24,17,2025-11-06,36,15,0.0023071910023804,0.0,0.3946981980895236,train
S00349,24,18,2025-11-06,32,24,0.0022113920896407,0.0,0.3946093351435836,train
S00350,24,13,2025-11-06,61,27,0.0022253656430487,0.0022072702240579,0.3716246774629001,train
S00351,10,7,2025-10-15,28,30,0.001527050932663,0.0,0.3473708978690147,train
S00352,2,20,2025-10-02,27,14,0.0020872646280396,0.0,0.4165384905807062,train
S00354,4,16,2025-10-05,18,18,0.0029045782280572,0.0047855643499528,0.430798998543312,train
S00356,6,22,2025-10-09,37,28,0.002462189506599,0.0,0.4189621870232563,train
S00357,4,22,2025-10-05,47,28,0.002924097207005,0.0,0.4444885127709719,train
S00358,8,8,2025-10-12,43,31,0.0031433282233435,0.0,0.3803271673949009,train
S00360,8,10,2025-10-12,28,25,0.0027855226028345,0.0,0.4379101847793018,train
S00361,8,25,2025-10-12,43,25,0.0047547466111234,0.0024229128580134,0.5026845775604809,train
S00362,8,5,2025-10-12,38,13,0.0034973291345782,0.0,0.479874350502482,train
S00363,6,19,2025-10-09,31,30,0.0030968928930521,0.0,0.4560171452813628,train
S00366,10,21,2025-10-15,58,28,0.0022191671009057,0.0044445636815653,0.3958484608287837,train
S00369,9,3,2025-10-13,52,22,0.0022221591519131,0.0,0.4426921843975638,train
S00371,9,2,2025-10-13,37,19,0.0023371796971906,0.0087046378029984,0.4363180917848767,train
S00373,10,21,2025-10-15,50,18,0.0018570186582726,0.0023894345645892,0.3550215477575724,train
S00376,9,2,2025-10-13,39,24,0.002452699461285,0.0022044799290308,0.4469364764982441,train
S00377,9,2,2025-10-13,51,28,0.0016743730107914,0.0066640743372799,0.4139165145931525,train
S00378,10,25,2025-10-15,19,20,0.0023922975860207,0.0,0.3645439325977603,train
S00379,10,25,2025-10-15,34,14,0.0018077351238683,0.0024318042813455,0.3787323760941941,train
S00380,9,4,2025-10-13,52,15,0.0032608940809424,0.0,0.4587264781672974,train
S00383,8,6,2025-10-12,45,25,0.0030372769668162,0.0,0.5323651190151621,train
S00384,9,4,2025-10-13,36,13,0.0023290999691342,0.0043461531734788,0.3861927839266494,train
S00388,10,5,2025-10-15,43,17,0.0027366987940705,0.0,0.3875258622564431,train
S00389,10,9,2025-10-15,38,25,0.0018036696814272,0.0120899864747837,0.3834498429891902,train
S00390,10,4,2025-10-15,43,13,0.0025396429245142,0.0,0.3559632712240425,train
S00393,8,5,2025-10-12,36,28,0.0036201991133549,0.0,0.4429249381473383,train
S00395,10,8,2025-10-15,26,23,0.0025956794025978,0.0,0.3890494292013753,train
S00396,10,8,2025-10-15,50,13,0.0022251525066857,0.0,0.4552307137840949,train
S00398,10,13,2025-10-15,56,20,0.0052463748393356,0.0,0.4699762962208165,train
S00400,8,4,2025-10-12,58,17,0.0025430178762059,0.0,0.4478823424361653,train
S00402,10,25,2025-10-15,35,12,0.0020489300685838,0.0,0.3241788096449591,train
S00403,10,13,2025-10-15,37,30,0.0028741695387033,0.0043498619334567,0.3980284969592125,train
S00404,10,13,2025-10-15,46,13,0.0032373278796551,0.0,0.3658215555742139,train
S00405,10,16,2025-10-15,19,27,0.0024132647010376,0.0,0.3236732099428701,train
S00406,10,21,2025-10-15,42,15,0.0026558482244382,0.0,0.361540010902977,train
S00408,3,8,2025-10-04,57,23,0.0030538563130915,0.0022408584697236,0.3849935769248302,train
S00409,3,6,2025-10-04,19,25,0.002362090509572,0.002175502182068,0.4333840647030698,train
S00410,3,3,2025-10-04,21,17,0.001930607677116,0.0,0.3789121222304502,train
S00411,1,23,2025-10-01,42,28,0.0002254222033766,0.0,0.1443721216725291,train
S00412,1,2,2025-10-01,32,24,0.0004511543774074,0.0,0.12523725599115,train
S00416,1,13,2025-10-01,33,12,0.0014601885739235,0.0,0.2938296017960931,train
S00417,5,23,2025-10-07,31,27,0.0025915669300841,0.0065888903619249,0.4408455365498573,train
S00420,8,25,2025-10-12,39,24,0.0031098956616451,0.0067010031280336,0.493554670765397,train
S00423,8,17,2025-10-12,22,25,0.0035046885742711,0.0022000593174946,0.5012350774708445,train
S00429,8,11,2025-10-12,50,24,0.0033115782205866,0.0,0.456395986998481,train
S00430,8,21,2025-10-12,26,14,0.0023964641514375,0.0065350023668016,0.5154023591273749,train
S00432,8,12,2025-10-12,23,14,0.0037967300476537,0.0,0.427524162469249,train
S00434,8,13,2025-10-12,45,12,0.0022596049187082,0.002191705914519,0.4108298004208444,train
S00435,8,13,2025-10-12,53,24,0.0036554108214984,0.0,0.4852338230132525,train
S00436,8,18,2025-10-12,58,26,0.0035050512492539,0.0,0.5143771697043403,train
S00438,26,16,2025-11-10,49,27,0.0008403011851201,0.0,0.1895106739811891,train
S00439,4,10,2025-10-05,28,12,0.0025088471068395,0.0,0.4378583461103564,train
S00440,27,1,2025-11-11,22,24,0.0004253128725416,0.0122367980460517,0.1560418271851996,train
S00441,23,20,2025-11-05,45,13,0.0003594693080859,0.0,0.1505948210741721,train
S00446,26,3,2025-11-10,42,23,0.0017752245344141,0.0,0.3712156616363745,train
S00448,21,24,2025-11-02,23,26,0.0020838493799981,0.012265971677205,0.4470535367355958,train
S00450,21,1,2025-11-02,40,16,0.0040794506461124,0.0,0.4789421338246527,train
S00452,21,24,2025-11-02,37,19,0.001499714023639,0.0048683965637152,0.4171388035497212,train
S00453,21,19,2025-11-02,32,25,0.0018417106395725,0.0024367761990213,0.4178781098090872,train
S00454,21,16,2025-11-02,18,16,0.0007976155904803,0.0,0.3651405451985649,train
S00455,21,4,2025-11-02,42,20,0.0009193643267371,0.0,0.2532383134977797,train
S00456,19,25,2025-10-29,36,22,0.0021739526203891,0.0,0.3644667228779932,train
S00457,21,19,2025-11-02,59,19,0.0019511727446645,0.0047714366632584,0.3391018127047707,train
S00461,28,23,2025-11-13,43,27,0.0016342726211775,0.0,0.3306765408332679,train
S00462,16,10,2025-10-25,27,26,0.0017008391460404,0.0,0.2413265272473916,train
S00463,28,23,2025-11-13,50,14,0.001767207001823,0.0,0.2924375087747913,train
S00464,16,3,2025-10-25,25,29,0.0005491837719441,0.0,0.131344543070817,train
S00465,28,25,2025-11-13,23,26,0.0009968886204791,0.0,0.2902294620037666,train
S00467,28,23,2025-11-13,30,21,0.0018435281384615,0.0047907539412867,0.380404028768927,train
S00469,28,20,2025-11-13,31,20,0.0024201646611444,0.0024476488781198,0.395113252793296,train
S00470,16,10,2025-10-25,45,28,0.00138865046219,0.0,0.200253787513708,train
S00472,28,25,2025-11-13,48,20,0.0017985364252061,0.0,0.2616405497462586,train
S00473,16,8,2025-10-25,36,25,0.001198951913444,0.0,0.2183540328450253,train
S00475,23,15,2025-11-05,20,25,0.0026799331599834,0.0,0.3880396817076506,train
S00476,23,14,2025-11-05,27,22,0.0018790492507201,0.0048258518065386,0.3635921258469158,train
S00478,28,22,2025-11-13,27,26,0.0017130702249241,0.0,0.3246458633237905,train
S00482,23,14,2025-11-05,24,28,0.0018497899644024,0.0,0.3123380152913691,train
S00483,23,14,2025-11-05,31,14,0.0018583090876841,0.0,0.3135476465133346,train
S00484,28,16,2025-11-13,16,24,0.002465878934465,0.0,0.4089912831242099,train
S00485,28,14,2025-11-13,42,22,0.001412539277091,0.0,0.3037492473897991,train
S00486,23,10,2025-11-05,25,26,0.0012511746119186,0.0023937848290876,0.2185587157195576,train
S00487,23,14,2025-11-05,21,26,0.0025086978494665,0.0047925556278778,0.3808275157199017,train
S00488,23,10,2025-11-05,60,26,0.0023825410160617,0.0024354507544016,0.3043617003997338,train
S00491,23,9,2025-11-05,32,22,0.0023788886238933,0.0,0.3232267643395533,train
S00493,28,5,2025-11-13,40,26,0.0006274540098759,0.0,0.2561643970051993,train
S00495,24,17,2025-11-06,44,12,0.0025853369282582,0.0,0.3939094363714642,train
S00497,24,19,2025-11-06,37,22,0.0037251998839371,0.0043514615044499,0.3743902647003769,train
S00498,24,22,2025-11-06,24,29,0.0025304111711587,0.0,0.2903612019104685,train
S00499,24,21,2025-11-06,33,19,0.0024366874026576,0.0,0.3863472914600359,train
S00500,24,22,2025-11-06,30,16,0.002638697818911,0.0021848266645565,0.3413867860779859,train
S00501,5,10,2025-10-07,20,27,0.0034080873853631,0.0021832142888519,0.4436213380728914,train
S00502,5,22,2025-10-07,41,17,0.0021174969447115,0.0022247289590775,0.4316478639558638,train
S00503,5,10,2025-10-07,42,31,0.0026647441248646,0.0,0.4598222416713403,train
S00505,5,10,2025-10-07,32,15,0.0033558411234386,0.0,0.4799774541065212,train
S00510,5,16,2025-10-07,41,13,0.0028562471030737,0.0022227290819726,0.4545776648074556,train
S00512,7,17,2025-10-10,25,17,0.003065010224822,0.0043474647807241,0.3827165090041915,train
S00513,5,4,2025-10-07,51,24,0.0027284883036826,0.0,0.4264021438184736,train
S00514,5,4,2025-10-07,40,21,0.002149572601905,0.0,0.4128468299712238,train
S00515,5,4,2025-10-07,49,17,0.0034355417772202,0.0065527516282994,0.4416485275797445,train
S00516,5,4,2025-10-07,53,20,0.0036400178199915,0.0,0.4473235889505103,train
S00518,7,10,2025-10-10,44,19,0.002932468965885,0.0,0.4242743032321557,train
