ufs_serial,run_id,wafer_no,split,health,reg_pred,risk,grade,anomaly_score,ci_low,ci_high,date
S00038,4,14,train,0.0,0.0034396266951894,MED,grade3,41.2,0.0,0.014379,2025-10-05
S00039,7,11,train,0.0024294149851399,0.0031523048964556,LOW,grade2,46.2,0.0,0.014092,2025-10-10
S00040,7,3,test,0.0024314830578957,0.0026926633377081,LOW,grade1,63.9,0.0,0.013632,2025-12-03
S00041,5,23,train,0.0024488066378919,0.0032408247541113,LOW,grade2,71.7,0.0,0.014181,2025-10-07
S00042,8,16,train,0.0024355223631917,0.0032751227832004,MED,grade3,58.5,0.0,0.014215,2025-10-12
S00043,9,3,train,0.0,0.0022397948068073,LOW,grade1,59.2,0.0,0.01318,2025-10-13
S00044,10,3,train,0.0,0.0018290267945265,LOW,grade1,41.5,0.0,0.012769,2025-10-15
S00045,6,20,val,0.0072081218274111,0.003289106946851,MED,grade3,32.8,0.0,0.014229,2025-11-17
S00046,6,13,val,0.0,0.0032701457074989,LOW,grade2,69.2,0.0,0.01421,2025-11-17
S00047,5,21,train,0.0024454088310256,0.0016596108631393,LOW,grade1,56.6,0.0,0.012599,2025-10-07
S00048,8,19,test,0.0,0.0032446665025098,LOW,grade2,65.5,0.0,0.014184,2025-12-03
S00049,4,15,train,0.0,0.0032825584519717,MED,grade3,57.3,0.0,0.014222,2025-10-05
S00050,11,9,val,0.0,0.0031212568347359,LOW,grade2,33.9,0.0,0.014061,2025-11-20
S00051,12,21,train,0.0023918839575332,0.0024298085051513,LOW,grade1,40.6,0.0,0.01337,2025-10-18
S00052,12,20,train,0.0,0.002409729011582,LOW,grade1,58.8,0.0,0.013349,2025-10-18
S00053,13,4,test,0.0023907448829881,0.0032478821374489,LOW,grade2,47.9,0.0,0.014188,2025-12-06
S00054,14,1,val,0.0,0.0032520633659684,LOW,grade2,40.7,0.0,0.014192,2025-11-21
S00055,13,16,val,0.0,0.0027527984287174,LOW,grade1,61.3,0.0,0.013693,2025-11-21
S00056,12,18,train,0.0024112401634015,0.0029808252000869,LOW,grade1,56.8,0.0,0.013921,2025-10-18
S00057,15,24,train,0.0,0.0026896822375301,LOW,grade1,80.6,0.0,0.013629,2025-10-23
S00058,12,18,train,0.0,0.003288271675312,MED,grade3,39.0,0.0,0.014228,2025-10-18
S00059,14,13,train,0.00240752581914,0.0032750745460531,MED,grade3,50.9,0.0,0.014215,2025-10-21
S00060,16,18,test,0.0,0.0032595987038945,LOW,grade2,33.3,0.0,0.014199,2025-12-08
S00061,16,18,train,0.0,0.0032732995334143,MED,grade3,33.8,0.0,0.014213,2025-10-25
S00062,16,15,train,0.0,0.0031342018239495,LOW,grade2,43.2,0.0,0.014074,2025-10-25
S00063,16,18,train,0.0,0.0032644839750783,LOW,grade2,30.5,0.0,0.014204,2025-10-25
S00064,16,11,train,0.0,0.0032478214457877,LOW,grade2,36.7,0.0,0.014188,2025-10-25
S00065,16,13,train,0.0,0.0032680775758457,LOW,grade2,34.9,0.0,0.014208,2025-10-25
S00066,16,14,test,0.0,0.003249243512068,LOW,grade2,43.9,0.0,0.014189,2025-12-08
S00067,16,15,test,0.0,0.0031344411092429,LOW,grade2,39.5,0.0,0.014074,2025-12-08
S00068,16,14,train,0.0096413121496052,0.0032838157049556,MED,grade3,30.9,0.0,0.014224,2025-10-25
S00069,13,8,train,0.0024141213958187,0.0034312525409025,MED,grade3,20.9,0.0,0.014371,2025-10-20
S00070,16,16,test,0.0,0.0032623230125592,LOW,grade2,48.0,0.0,0.014202,2025-12-08
S00071,16,13,train,0.0,0.0034698652221467,MED,grade3,59.2,0.0,0.01441,2025-10-25
S00072,13,10,train,0.0,0.0034623049732218,MED,grade3,30.3,0.0,0.014402,2025-10-20
S00073,13,8,val,0.0122814300823374,0.0032765883641602,MED,grade3,74.2,0.0,0.014216,2025-11-21
S00074,13,6,test,0.0024555214648148,0.0032733101084552,MED,grade3,30.2,0.0,0.014213,2025-12-06
S00075,13,6,train,0.0,0.0034296605911589,MED,grade3,41.0,0.0,0.014369,2025-10-20
S00076,16,13,test,0.0,0.0034398746813224,MED,grade3,42.4,0.0,0.01438,2025-12-08
S00077,13,5,val,0.0,0.0034333279098635,MED,grade3,20.6,0.0,0.014373,2025-11-21
S00078,13,10,test,0.0,0.0034345555540801,MED,grade3,30.6,0.0,0.014374,2025-12-06
S00079,13,4,train,0.0,0.0034440779024597,MED,grade3,19.4,0.0,0.014384,2025-10-20
S00080,13,10,train,0.0024551575598599,0.0031134426170387,LOW,grade2,32.6,0.0,0.014053,2025-10-20
S00081,13,5,train,0.0048692551117381,0.0034519314600799,MED,grade3,34.8,0.0,0.014392,2025-10-20
S00082,17,8,test,0.0,0.0031061669672435,LOW,grade1,59.0,0.0,0.014046,2025-12-08
S00083,17,14,val,0.0,0.003284213761247,MED,grade3,39.9,0.0,0.014224,2025-11-23
S00084,5,21,train,0.0,0.003250107630493,LOW,grade2,38.5,0.0,0.01419,2025-10-07
S00085,4,23,val,0.0023872653563125,0.0027035742685306,LOW,grade1,26.4,0.0,0.013643,2025-11-16
S00086,5,20,train,0.0,0.0032700202607116,LOW,grade2,70.1,0.0,0.01421,2025-10-07
S00087,6,13,train,0.0071833265884257,0.0034519012461098,MED,grade3,34.3,0.0,0.014392,2025-10-09
S00088,6,7,val,0.0,0.0016368112393191,LOW,grade1,28.4,0.0,0.012577,2025-11-17
S00089,4,22,val,0.0,0.0024192867043832,LOW,grade1,48.3,0.0,0.013359,2025-11-16
S00090,4,25,test,0.0,0.003256633577825,LOW,grade2,25.8,0.0,0.014196,2025-12-01
S00091,4,23,val,0.0,0.0032380509973987,LOW,grade2,34.0,0.0,0.014178,2025-11-16
S00092,4,22,train,0.0,0.0026812885671345,LOW,grade1,29.4,0.0,0.013621,2025-10-05
S00093,5,19,test,0.0,0.0034348473189011,MED,grade3,45.3,0.0,0.014375,2025-12-02
S00094,5,15,val,0.0,0.0034632325101697,MED,grade3,20.8,0.0,0.014403,2025-11-17
S00095,5,19,test,0.0,0.0032607852554718,LOW,grade2,39.1,0.0,0.014201,2025-12-02
S00096,5,19,train,0.0,0.003450572782968,MED,grade3,44.1,0.0,0.01439,2025-10-07
S00097,4,18,test,0.0,0.0034583696050346,MED,grade3,27.1,0.0,0.014398,2025-12-01
S00098,5,9,train,0.0,0.0032711953909235,LOW,grade2,31.1,0.0,0.014211,2025-10-07
S00099,6,7,train,0.002429023161249,0.003247263237622,LOW,grade2,12.6,0.0,0.014187,2025-10-09
S00100,6,13,test,0.0,0.0032852768405486,MED,grade3,47.9,0.0,0.014225,2025-12-02
S00101,6,12,train,0.0047811447811447,0.0031397405685266,LOW,grade2,46.4,0.0,0.01408,2025-10-09
S00102,6,7,test,0.0,0.0032868109943819,MED,grade3,26.0,0.0,0.014227,2025-12-02
S00103,4,18,train,0.0023947190902958,0.0032746837212969,MED,grade3,26.1,0.0,0.014214,2025-10-05
S00104,6,6,val,0.0,0.0032882253929266,MED,grade3,20.8,0.0,0.014228,2025-11-17
S00105,6,18,val,0.0,0.0034515421449894,MED,grade3,50.7,0.0,0.014391,2025-11-17
S00106,6,18,train,0.0,0.003462900158928,MED,grade3,31.9,0.0,0.014403,2025-10-09
S00107,6,11,test,0.0,0.0034702643007762,MED,grade3,22.1,0.0,0.01441,2025-12-02
S00108,6,10,train,0.0,0.0034666104092511,MED,grade3,21.2,0.0,0.014406,2025-10-09
S00109,7,11,train,0.0024466006035276,0.0032422652430071,LOW,grade2,24.4,0.0,0.014182,2025-10-10
S00110,7,11,test,0.0047981772718934,0.002975930139388,LOW,grade1,26.1,0.0,0.013916,2025-12-03
S00111,6,10,train,0.0,0.0034508703581805,MED,grade3,26.9,0.0,0.014391,2025-10-09
S00112,7,11,test,0.0,0.0031545229715128,LOW,grade2,14.5,0.0,0.014094,2025-12-03
S00113,6,11,train,0.0,0.0034471019834229,MED,grade3,34.8,0.0,0.014387,2025-10-09
S00114,5,25,train,0.0,0.0034520410869298,MED,grade3,17.5,0.0,0.014392,2025-10-07
S00115,7,22,test,0.0,0.0031119740078898,LOW,grade2,36.9,0.0,0.014052,2025-12-03
S00116,7,5,train,0.0,0.0032866842664739,MED,grade3,20.3,0.0,0.014226,2025-10-10
S00117,7,24,test,0.0,0.0032557350314669,LOW,grade2,35.5,0.0,0.014196,2025-12-03
S00118,7,21,test,0.0,0.0031555750096554,LOW,grade2,25.9,0.0,0.014095,2025-12-03
S00119,6,13,val,0.0,0.0034344607806205,MED,grade3,41.7,0.0,0.014374,2025-11-17
S00120,7,16,train,0.0,0.0031243114592623,LOW,grade2,38.1,0.0,0.014064,2025-10-10
S00121,6,17,train,0.0,0.003264205168616,LOW,grade2,16.8,0.0,0.014204,2025-10-09
S00122,7,16,train,0.0,0.003259134815939,LOW,grade2,25.5,0.0,0.014199,2025-10-10
S00123,7,24,train,0.0120079634300735,0.0032446143737529,LOW,grade2,48.8,0.0,0.014184,2025-10-10
S00124,6,17,train,0.0,0.0034711072021477,MED,grade3,38.0,0.0,0.014411,2025-10-09
S00125,18,19,test,0.0024487704413206,0.0032539619184112,LOW,grade2,24.1,0.0,0.014194,2025-12-09
S00126,18,6,train,0.0145181549966406,0.003117150662021,LOW,grade2,32.2,0.0,0.014057,2025-10-28
S00127,18,11,train,0.0,0.0034327439169839,MED,grade3,41.3,0.0,0.014373,2025-10-28
S00128,18,19,train,0.0023878847281078,0.003248256835379,LOW,grade2,38.3,0.0,0.014188,2025-10-28
S00129,18,24,train,0.0071621056878935,0.0018259403795164,LOW,grade1,57.9,0.0,0.012766,2025-10-28
S00130,18,9,train,0.0048756321399316,0.0027293609030797,LOW,grade1,19.7,0.0,0.013669,2025-10-28
S00131,18,3,train,0.0,0.0032754764027234,MED,grade3,30.4,0.0,0.014215,2025-10-28
S00132,18,9,train,0.0,0.0027321774270743,LOW,grade1,30.9,0.0,0.013672,2025-10-28
S00133,18,9,train,0.0,0.0027540365614236,LOW,grade1,9.0,0.0,0.013694,2025-10-28
S00134,18,11,train,0.0,0.003438806870942,MED,grade3,30.9,0.0,0.014379,2025-10-28
S00135,19,24,train,0.0024002704530087,0.0032878463792595,MED,grade3,39.7,0.0,0.014228,2025-10-29
S00136,2,22,train,0.0024124339857098,0.0031346856150014,LOW,grade2,18.8,0.0,0.014074,2025-10-02
S00137,2,1,train,0.0,0.0027464141484704,LOW,grade1,33.4,0.0,0.013686,2025-10-02
S00138,10,20,train,0.0024209654634906,0.0027391303546909,LOW,grade1,19.7,0.0,0.013679,2025-10-15
S00139,19,24,train,0.0023857183316292,0.0032452693202835,LOW,grade2,26.1,0.0,0.014185,2025-10-29
S00140,20,11,val,0.0048299319727891,0.0027493851830046,LOW,grade1,47.1,0.0,0.013689,2025-11-25
S00141,10,11,val,0.0,0.0027705737746473,LOW,grade1,21.7,0.0,0.01371,2025-11-19
S00142,2,17,train,0.0023883666839667,0.0032111164767163,LOW,grade2,19.1,0.0,0.014151,2025-10-02
S00143,2,17,val,0.0,0.0031354370856325,LOW,grade2,16.3,0.0,0.014075,2025-11-15
S00144,21,8,train,0.0,0.0024373681284801,LOW,grade1,48.1,0.0,0.013377,2025-11-02
S00145,2,17,train,0.0048074365336157,0.0032677973918887,LOW,grade2,23.0,0.0,0.014208,2025-10-02
S00146,2,1,train,0.0,0.0031548782785643,LOW,grade2,22.9,0.0,0.014095,2025-10-02
S00147,2,5,val,0.0,0.003248933640861,LOW,grade2,43.7,0.0,0.014189,2025-11-15
S00148,2,17,train,0.0023848940713548,0.0031297830466215,LOW,grade2,26.0,0.0,0.01407,2025-10-02
S00149,2,17,train,0.0,0.0031469112915578,LOW,grade2,18.3,0.0,0.014087,2025-10-02
S00150,21,10,train,0.0024284534611569,0.0003083907467725,LOW,grade1,42.7,0.0,0.011248,2025-11-02
S00151,2,9,train,0.0,0.0015110178651216,LOW,grade1,29.4,0.0,0.012451,2025-10-02
S00152,18,25,train,0.0,0.0012776395416966,LOW,grade1,23.1,0.0,0.012217,2025-10-28
S00153,2,7,train,0.0,0.0015262181071716,LOW,grade1,34.5,0.0,0.012466,2025-10-02
S00154,2,15,train,0.0024048348309115,0.003131732613381,LOW,grade2,15.5,0.0,0.014072,2025-10-02
S00155,2,10,train,0.0,0.0012698092072339,LOW,grade1,16.2,0.0,0.01221,2025-10-02
S00156,2,11,train,0.0,0.0012535379560806,LOW,grade1,10.4,0.0,0.012193,2025-10-02
S00157,10,7,train,0.0023905723905723,0.0012718361168832,LOW,grade1,18.0,0.0,0.012212,2025-10-15
S00158,2,11,train,0.0,0.0015048374556832,LOW,grade1,23.8,0.0,0.012445,2025-10-02
S00159,18,25,val,0.0044285835215704,0.0011442395392317,LOW,grade1,32.3,0.0,0.012084,2025-11-24
S00160,10,18,val,0.0098232506658365,0.003128871582926,LOW,grade2,17.5,0.0,0.014069,2025-11-19
S00161,9,11,val,0.0,0.0032521865688722,LOW,grade2,21.1,0.0,0.014192,2025-11-19
S00162,2,23,train,0.0,0.0027573098918298,LOW,grade1,44.0,0.0,0.013697,2025-10-02
S00163,9,11,test,0.0,0.0032717189842115,MED,grade3,33.9,0.0,0.014211,2025-12-04
S00164,18,19,train,0.0,0.0031363952209428,LOW,grade2,55.3,0.0,0.014076,2025-10-28
S00165,2,23,train,0.0,0.0032418764063957,LOW,grade2,13.1,0.0,0.014182,2025-10-02
S00166,2,23,train,0.0,0.002980874701088,LOW,grade1,13.5,0.0,0.013921,2025-10-02
S00167,8,5,val,0.0087514251880808,0.0034454047927392,MED,grade3,32.9,0.0,0.014385,2025-11-18
S00168,8,10,train,0.0044468304030778,0.0034726680694081,MED,grade3,36.0,0.0,0.014412,2025-10-12
S00169,8,5,train,0.002185201306724,0.0034832915537001,MED,grade3,16.7,0.0,0.014423,2025-10-12
S00170,8,5,train,0.0,0.0034637097338441,MED,grade3,37.0,0.0,0.014403,2025-10-12
S00171,8,10,train,0.002232734493277,0.0034476044348605,MED,grade3,24.9,0.0,0.014387,2025-10-12
S00172,8,10,test,0.0022320125387907,0.0034664300618827,MED,grade3,25.9,0.0,0.014406,2025-12-03
S00173,8,20,val,0.0,0.0034495376230098,MED,grade3,43.1,0.0,0.014389,2025-11-18
S00174,8,20,train,0.0,0.003290006642082,MED,grade3,44.8,0.0,0.01423,2025-10-12
S00175,8,21,train,0.0,0.0032775369673973,MED,grade3,25.9,0.0,0.014217,2025-10-12
S00176,22,22,test,0.0,0.0027094215576156,LOW,grade1,37.5,0.0,0.013649,2025-12-11
S00177,22,19,train,0.0043713251623854,0.0034576573254259,MED,grade3,36.8,0.0,0.014397,2025-11-03
S00178,22,19,train,0.0,0.0032666071748938,LOW,grade2,31.5,0.0,0.014206,2025-11-03
S00179,22,19,test,0.0043735177778657,0.003454539014598,MED,grade3,33.0,0.0,0.014394,2025-12-11
S00180,22,22,train,0.0,0.0027681022342575,LOW,grade1,44.6,0.0,0.013708,2025-11-03
S00181,22,22,train,0.0,0.00314048201978,LOW,grade2,47.3,0.0,0.01408,2025-11-03
S00182,22,24,val,0.0,0.0032480146947114,LOW,grade2,28.6,0.0,0.014188,2025-11-26
S00183,22,22,train,0.0,0.002695170555242,LOW,grade1,75.2,0.0,0.013635,2025-11-03
S00184,22,25,test,0.0,0.003247719410819,LOW,grade2,22.3,0.0,0.014187,2025-12-11
S00185,22,24,train,0.0,0.0032789192802484,MED,grade3,34.1,0.0,0.014219,2025-11-03
S00186,22,25,train,0.0,0.0032371236642116,LOW,grade2,26.6,0.0,0.014177,2025-11-03
S00187,22,11,train,0.0023849627379564,0.0027429061815282,LOW,grade1,33.8,0.0,0.013683,2025-11-03
S00188,22,24,train,0.0,0.003123092671984,LOW,grade2,38.1,0.0,0.014063,2025-11-03
S00189,22,11,train,0.0,0.0016151857816475,LOW,grade1,35.7,0.0,0.012555,2025-11-03
S00190,22,11,test,0.0,0.0026978869267887,LOW,grade1,34.3,0.0,0.013638,2025-12-11
S00191,22,9,train,0.0,0.002985178813261,LOW,grade1,36.2,0.0,0.013925,2025-11-03
S00192,22,8,train,0.0,0.0026019377254253,LOW,grade1,56.3,0.0,0.013542,2025-11-03
S00193,22,9,train,0.0,0.002766026102316,LOW,grade1,32.1,0.0,0.013706,2025-11-03
S00194,22,8,train,0.0023942345675443,0.0016409469541352,LOW,grade1,30.6,0.0,0.012581,2025-11-03
S00195,22,16,test,0.0044657097288676,0.0031010848122302,LOW,grade1,30.3,0.0,0.014041,2025-12-11
S00196,22,3,test,0.0021767599125792,0.0018430156981368,LOW,grade1,32.6,0.0,0.012783,2025-12-11
S00197,22,3,test,0.002389503492906,0.001538114299607,LOW,grade1,41.3,0.0,0.012478,2025-12-11
S00198,22,3,test,0.0,0.0016615726624404,LOW,grade1,20.1,0.0,0.012601,2025-12-11
S00199,9,6,train,0.0,0.0032790648301273,MED,grade3,28.7,0.0,0.014219,2025-10-13
S00200,9,6,test,0.0,0.003139424797117,LOW,grade2,29.4,0.0,0.014079,2025-12-04
S00201,9,6,train,0.0,0.0031277588323224,LOW,grade2,16.2,0.0,0.014068,2025-10-13
S00202,9,6,train,0.0,0.0032533926399195,LOW,grade2,28.6,0.0,0.014193,2025-10-13
S00203,17,9,test,0.0,0.003282233419128,MED,grade3,42.9,0.0,0.014222,2025-12-08
S00204,17,3,val,0.0,0.0032770359373396,MED,grade3,37.3,0.0,0.014217,2025-11-23
S00205,9,24,train,0.0024191978193146,0.0032476950327565,LOW,grade2,34.0,0.0,0.014187,2025-10-13
S00206,17,3,train,0.0,0.0031590248157259,LOW,grade2,40.0,0.0,0.014099,2025-10-26
S00207,17,3,train,0.0024246859373094,0.0032730665194652,MED,grade3,15.7,0.0,0.014213,2025-10-26
S00208,9,12,train,0.0,0.0032461557231441,LOW,grade2,28.8,0.0,0.014186,2025-10-13
S00209,22,14,test,0.0047990807394639,0.0010407268186758,LOW,grade1,30.3,0.0,0.01198,2025-12-11
S00210,9,12,train,0.0,0.0032617911531092,LOW,grade2,37.8,0.0,0.014202,2025-10-13
S00211,17,15,train,0.0024002356770644,0.0034444562688766,MED,grade3,28.3,0.0,0.014384,2025-10-26
S00212,3,14,val,0.0,0.0026932110694399,LOW,grade1,26.5,0.0,0.013633,2025-11-16
S00213,3,8,val,0.0,0.0018799833112968,LOW,grade1,22.6,0.0,0.01282,2025-11-16
S00214,3,16,train,0.0,0.002245030986674,LOW,grade1,17.1,0.0,0.013185,2025-10-04
S00215,3,24,test,0.0,0.0027488221109316,LOW,grade1,39.1,0.0,0.013689,2025-12-01
S00216,3,14,train,0.0,0.0024203386251718,LOW,grade1,29.4,0.0,0.01336,2025-10-04
S00217,3,22,train,0.0,0.0023957088230348,LOW,grade1,31.1,0.0,0.013335,2025-10-04
S00218,5,22,train,0.0,0.0034402001424624,MED,grade3,34.7,0.0,0.01438,2025-10-07
S00219,7,10,test,0.0072566397523689,0.0032539944575964,LOW,grade2,20.2,0.0,0.014194,2025-12-03
S00220,5,10,train,0.0048111362800333,0.0034536877222278,MED,grade3,34.1,0.0,0.014393,2025-10-07
S00221,7,23,train,0.0024405814181889,0.0032797664812058,MED,grade3,34.5,0.0,0.01422,2025-10-10
S00222,5,22,test,0.0,0.0031500499836179,LOW,grade2,38.4,0.0,0.01409,2025-12-02
S00223,5,4,train,0.0,0.003111901448673,LOW,grade2,35.5,0.0,0.014052,2025-10-07
S00224,5,10,test,0.0191383874849578,0.0032835279111044,MED,grade3,21.8,0.0,0.014223,2025-12-02
S00225,5,10,test,0.0024036485159767,0.0032485386975864,LOW,grade2,40.2,0.0,0.014188,2025-12-02
S00226,5,4,train,0.0,0.0034584551660618,MED,grade3,12.9,0.0,0.014398,2025-10-07
S00227,10,6,train,0.0,0.00153206015981,LOW,grade1,32.4,0.0,0.012472,2025-10-15
S00228,10,6,val,0.0,0.0010263381795667,LOW,grade1,30.6,0.0,0.011966,2025-11-19
S00229,4,10,train,0.0,0.0034323286418104,MED,grade3,31.4,0.0,0.014372,2025-10-05
S00230,4,10,val,0.004417365490332,0.0032913524492414,MED,grade3,29.4,0.0,0.014231,2025-11-16
S00231,13,18,test,0.0,0.0031233230970226,LOW,grade2,37.6,0.0,0.014063,2025-12-06
S00232,13,21,val,0.0021826965305226,0.0031259170785771,LOW,grade2,38.5,0.0,0.014066,2025-11-21
S00233,12,23,train,0.0,0.0015336921868254,LOW,grade1,33.1,0.0,0.012473,2025-10-18
S00234,13,21,val,0.0,0.002729694730867,LOW,grade1,33.7,0.0,0.013669,2025-11-21
S00235,12,19,val,0.0,0.0024115526041206,LOW,grade1,34.4,0.0,0.013351,2025-11-20
S00236,12,19,val,0.0022395861497143,0.0026810098856989,LOW,grade1,28.5,0.0,0.013621,2025-11-20
S00237,12,19,train,0.0,0.0027434827139621,LOW,grade1,35.3,0.0,0.013683,2025-10-18
S00238,17,25,train,0.0,0.0011521044426478,LOW,grade1,25.0,0.0,0.012092,2025-10-26
S00239,9,9,val,0.0024128556170501,0.0023946403896577,LOW,grade1,40.3,0.0,0.013334,2025-11-19
S00240,10,14,val,0.0,0.0018246380378477,LOW,grade1,32.2,0.0,0.012764,2025-11-19
S00241,10,14,test,0.0024159520892881,0.0026979014906983,LOW,grade1,43.1,0.0,0.013638,2025-12-04
S00242,9,9,val,0.0,0.0024267892266673,LOW,grade1,27.0,0.0,0.013367,2025-11-19
S00243,10,17,test,0.0,0.0023991265336047,LOW,grade1,46.1,0.0,0.013339,2025-12-04
S00244,10,17,test,0.0,0.0012649741826281,LOW,grade1,40.7,0.0,0.012205,2025-12-04
S00245,10,7,train,0.0,0.001256230686118,LOW,grade1,25.3,0.0,0.012196,2025-10-15
S00246,9,22,test,0.002409661920069,0.0031132887472189,LOW,grade2,19.4,0.0,0.014053,2025-12-04
S00247,9,22,train,0.0,0.0031294512513125,LOW,grade2,27.9,0.0,0.014069,2025-10-13
S00248,10,2,train,0.0048394556829523,0.0026030129185867,LOW,grade1,28.0,0.0,0.013543,2025-10-15
S00249,10,2,train,0.0072902762090563,0.0031553120464196,LOW,grade2,32.0,0.0,0.014095,2025-10-15
S00250,10,2,val,0.0,0.0027026977389256,LOW,grade1,12.0,0.0,0.013642,2025-11-19
S00251,9,14,test,0.0,0.0031533516686915,LOW,grade2,22.7,0.0,0.014093,2025-12-04
S00252,2,16,train,0.0,0.0024255574752147,LOW,grade1,55.1,0.0,0.013365,2025-10-02
S00253,9,14,train,0.0,0.0031563144666634,LOW,grade2,24.7,0.0,0.014096,2025-10-13
S00254,2,13,test,0.0,0.002379884768987,LOW,grade1,14.2,0.0,0.01332,2025-11-30
S00255,2,13,test,0.0,0.0027313658846077,LOW,grade1,16.9,0.0,0.013671,2025-11-30
S00256,2,16,test,0.0,0.0024024156384746,LOW,grade1,17.0,0.0,0.013342,2025-11-30
S00257,20,14,train,0.0122792453576052,0.0015138416316587,LOW,grade1,42.1,0.0,0.012454,2025-10-31
S00258,23,7,train,0.004889013491513,0.0031070246676866,LOW,grade1,20.5,0.0,0.014047,2025-11-05
S00259,23,6,train,0.0,0.0031482041802467,LOW,grade2,17.3,0.0,0.014088,2025-11-05
S00260,23,7,train,0.0,0.0032371223902533,LOW,grade2,29.6,0.0,0.014177,2025-11-05
S00261,23,6,train,0.0,0.0031410412526903,LOW,grade2,33.0,0.0,0.014081,2025-11-05
S00262,23,7,train,0.0,0.0029772040783826,LOW,grade1,26.2,0.0,0.013917,2025-11-05
S00263,23,6,val,0.0,0.0027467589563977,LOW,grade1,34.0,0.0,0.013687,2025-11-26
S00264,23,6,train,0.0,0.0031332386830409,LOW,grade2,34.4,0.0,0.014073,2025-11-05
S00265,23,5,train,0.0021986286219862,0.0029843377009552,LOW,grade1,27.9,0.0,0.013924,2025-11-05
S00266,23,1,test,0.0,0.0027707513462345,LOW,grade1,41.2,0.0,0.013711,2025-12-11
